Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Iga Swiatek,2024 Doha F,W vsRybakina,18.6%,27.9%,47.0%,21.9%,34.4%,46.0%,52.0%,30.8%,14.3%,11.1%,11.1%,50.0%,10.0%,50.0%,0.0%,-14
Iga Swiatek,2024 Doha QF,W vsAzarenka,26.2%,35.7%,60.0%,33.3%,40.7%,66.7%,90.0%,23.5%,0.0%,14.3%,28.6%,50.0%,25.0%,50.0%,-,-23
Iga Swiatek,2024 Doha R16,W vsAlexandrova,37.0%,45.2%,47.8%,40.7%,51.9%,56.3%,48.1%,29.6%,20.0%,26.3%,26.3%,28.6%,0.0%,33.3%,0.0%,-104
Iga Swiatek,2024 Doha R32,W vsCirstea,27.8%,38.9%,72.0%,30.8%,38.5%,66.7%,45.5%,20.0%,-,22.2%,44.4%,85.7%,25.0%,20.0%,-,17
Iga Swiatek,2024 Australian Open R32,L vsNoskova,22.1%,32.6%,51.5%,23.6%,36.4%,54.8%,51.9%,17.9%,0.0%,20.0%,26.7%,45.8%,6.7%,40.0%,0.0%,-65
Iga Swiatek,2024 Australian Open R64,W vsCollins,24.5%,29.8%,40.3%,31.3%,39.1%,47.7%,35.7%,36.1%,16.7%,11.5%,11.5%,26.1%,23.1%,46.2%,75.0%,-4
Iga Swiatek,2024 Australian Open R128,W vsKenin,32.4%,42.3%,47.9%,34.7%,46.9%,46.9%,52.2%,30.8%,0.0%,27.3%,31.8%,50.0%,10.0%,66.7%,100.0%,-104
Iga Swiatek,2024 United Cup F,W vsKerber,22.0%,39.0%,62.8%,22.7%,43.2%,61.8%,69.6%,14.3%,66.7%,25.0%,33.3%,66.7%,0.0%,12.5%,0.0%,111
Iga Swiatek,2024 United Cup SF,W vsGarcia,27.6%,42.1%,58.8%,27.8%,44.4%,66.7%,48.1%,7.4%,33.3%,33.3%,44.4%,33.3%,12.5%,20.0%,0.0%,115
Iga Swiatek,2024 United Cup QF,W vsZheng,23.6%,36.4%,53.7%,21.9%,37.5%,56.0%,52.9%,40.0%,0.0%,27.3%,36.4%,50.0%,14.3%,46.7%,-,-51
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,20.4%,32.7%,59.0%,21.6%,32.4%,58.6%,44.4%,10.5%,0.0%,16.7%,33.3%,60.0%,40.0%,42.9%,0.0%,-104
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,14.3%,32.7%,66.7%,20.0%,33.3%,66.7%,72.7%,15.8%,0.0%,5.3%,31.6%,66.7%,0.0%,85.7%,-,-104
Iga Swiatek,2023 Cancun Finals F,W vsPegula,28.9%,39.5%,69.2%,36.4%,45.5%,71.4%,60.0%,16.7%,-,20.0%,33.3%,66.7%,0.0%,75.0%,100.0%,-28
Iga Swiatek,2023 Cancun Finals SF,W vsSabalenka,28.3%,43.4%,67.6%,30.6%,52.8%,72.0%,72.2%,27.8%,-,25.0%,25.0%,58.3%,14.3%,11.1%,0.0%,-33
Iga Swiatek,2023 Cancun Finals RR,W vsVondrousova,21.9%,34.4%,52.2%,22.2%,36.1%,50.0%,46.7%,19.0%,0.0%,25.0%,37.5%,55.6%,50.0%,28.6%,0.0%,30
Iga Swiatek,2023 Cancun Finals RR,W vsJabeur,20.8%,41.7%,62.2%,34.6%,57.7%,64.7%,54.5%,26.7%,0.0%,4.8%,23.8%,60.0%,27.3%,50.0%,100.0%,-66
Iga Swiatek,2023 Cancun Finals RR,W vsGauff,32.1%,42.9%,47.2%,36.6%,48.8%,50.0%,52.6%,13.6%,0.0%,23.1%,30.8%,40.0%,50.0%,14.3%,0.0%,57
Iga Swiatek,2023 Beijing F,W vsSamsonova,35.7%,40.5%,61.5%,38.5%,46.2%,75.0%,27.3%,33.3%,-,33.3%,33.3%,40.0%,42.9%,25.0%,-,-104
Iga Swiatek,2023 Beijing SF,W vsGauff,27.5%,37.5%,75.0%,36.7%,50.0%,78.9%,86.7%,26.7%,-,0.0%,0.0%,66.7%,50.0%,0.0%,-,-119
Iga Swiatek,2023 Beijing QF,W vsGarcia,37.1%,48.5%,59.3%,45.2%,57.5%,67.5%,53.8%,23.4%,-,13.6%,22.7%,42.1%,15.4%,22.2%,-,-51
Iga Swiatek,2023 Beijing R16,W vsLinette,19.4%,33.3%,72.4%,26.3%,42.1%,78.6%,44.4%,20.0%,-,11.8%,23.5%,66.7%,0.0%,54.5%,-,-104
Iga Swiatek,2023 Beijing R32,W vsGracheva,29.5%,38.6%,58.1%,33.3%,43.3%,60.0%,58.3%,5.6%,0.0%,21.4%,28.6%,54.5%,0.0%,66.7%,-,-104
Iga Swiatek,2023 Beijing R64,W vsSorribes Tormo,4.4%,13.3%,52.4%,3.1%,12.5%,51.6%,50.0%,25.0%,0.0%,8.3%,16.7%,54.5%,0.0%,50.0%,-,-30
Iga Swiatek,2023 Tokyo QF,L vsKudermetova,27.2%,33.3%,54.7%,29.8%,34.0%,48.5%,59.1%,36.0%,20.0%,28.6%,39.3%,65.0%,0.0%,85.7%,100.0%,109
