Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2024 Doha QF,W vsAzarenka,76.7%,63.6%,11.6%,4/1,2.33,0.0%,76.7%,65.2%,6.7%,2.33,0.0%,90.9%,60.0%,27.3%,2.34,0.0%
Iga Swiatek,2024 Doha R16,W vsAlexandrova,72.5%,54.1%,9.8%,4/1,2.57,0.0%,82.1%,60.9%,14.3%,2.76,0.0%,70.0%,42.9%,5.0%,2.15,0.0%
Iga Swiatek,2024 Doha R32,W vsCirstea,82.0%,70.7%,0.0%,0/0,2.76,12.0%,72.4%,76.2%,0.0%,2.59,16.7%,95.2%,65.0%,0.0%,3.21,0.0%
Iga Swiatek,2024 Australian Open R32,L vsNoskova,57.0%,56.1%,4.0%,2/2,2.44,10.6%,55.9%,48.5%,3.4%,2.36,16.7%,75.0%,66.7%,6.3%,2.58,0.0%
Iga Swiatek,2024 Australian Open R64,W vsCollins,70.9%,60.3%,15.5%,8/9,2.47,6.0%,74.2%,50.0%,11.3%,2.41,9.1%,78.0%,75.0%,24.4%,2.58,0.0%
Iga Swiatek,2024 Australian Open R128,W vsKenin,70.8%,60.8%,13.9%,4/6,2.33,8.3%,70.8%,52.9%,12.5%,2.38,9.4%,81.0%,76.5%,19.0%,2.24,6.3%
Iga Swiatek,2024 United Cup F,W vsKerber,83.3%,62.9%,7.1%,2/1,1.97,2.3%,77.8%,66.7%,7.4%,2.06,2.9%,93.3%,57.1%,6.7%,1.67,0.0%
Iga Swiatek,2024 United Cup SF,W vsGarcia,75.8%,60.0%,15.2%,7/3,2.52,11.8%,72.3%,55.9%,8.5%,2.35,15.4%,88.9%,68.8%,33.3%,3.05,0.0%
Iga Swiatek,2024 United Cup QF,W vsZheng,70.2%,60.0%,5.3%,2/1,2.26,9.8%,81.5%,40.9%,7.4%,2.32,16.0%,85.7%,83.3%,4.8%,2.17,0.0%
Iga Swiatek,2024 United Cup RR,W vsHaddad Maia,82.6%,68.4%,6.5%,1/2,2.54,7.7%,78.8%,73.1%,6.1%,2.52,10.3%,100.0%,58.3%,8.3%,2.58,0.0%
Iga Swiatek,2024 United Cup RR,W vsSorribes Tormo,84.3%,62.8%,0.0%,0/0,2.16,0.0%,85.0%,58.8%,0.0%,2.32,0.0%,100.0%,77.8%,0.0%,1.97,0.0%
Iga Swiatek,2023 Cancun Finals F,W vsPegula,88.2%,70.0%,0.0%,0/0,2.59,3.8%,88.2%,66.7%,0.0%,2.44,7.1%,93.8%,73.3%,0.0%,2.77,0.0%
